Feature,Score
Free to Play,71.82495176494834
Open World,70.92302974866732
Base Building,61.061116866448934
Sandbox,57.66727006677421
War,55.41744926799524
Psychological Horror,47.6885886814453
Realistic,45.30347765298144
Moddable,44.055860457448645
Survival,42.30370240467671
Automobile Sim,39.87959978346353
PvP,39.16572258532909
Horror,35.774059427904476
Casual,35.49381693353701
Tactical RPG,34.184135803028994
Clicker,34.0864291184418
FPS,33.949640561328906
Colony Sim,33.47535405375298
Idler,33.045556643140515
MMORPG,32.14087282446267
Science,31.716672876047
Pixel Graphics,31.69769866204066
Gambling,31.21722926458721
PvE,30.926832767414705
Difficult,28.694283430712126
2D,28.620951329716053
Historical,28.237299092405657
Cute,27.596665385821172
Military,27.503434993953583
Driving,27.28495156974304
Automation,27.156427441601686
Transportation,27.10795422736539
Building,26.464085179018824
Massively Multiplayer,26.231687487900107
Dynamic Narration,26.031709776109043
Voxel,25.96280386269022
Local Co-Op,25.96198574542111
Psychological,25.905028590351893
Character Customization,25.508897209516423
Comedy,25.02056863166863
Detective,24.963667475973136
Tactical,24.459586054738928
Bullet Hell,24.223467082335887
Crafting,23.41005801086075
eSports,22.246239133118937
Mystery,21.811090389349733
Capitalism,21.782417817469593
Game Development,21.762711864406796
Photo Editing,21.762711864406796
Social Deduction,21.762711864406796
RTS,21.405666705901645
Funny,21.24195539366673
Experimental,20.96312241368881
Design & Illustration,20.94841475722111
Dinosaurs,20.847321890216556
Cyberpunk,20.56939229592548
FMV,19.841724825523443
Spectacle fighter,19.153191489361717
Shooter,18.98768711406182
Open World Survival Craft,18.947116372506294
Top-Down,18.408474515967534
NSFW,18.20457155538297
Games Workshop,18.17461717782522
Immersive Sim,17.989796827022946
Online Co-Op,17.886239071557196
Software,17.870873903113367
Animation & Modeling,17.870873903113367
Utilities,17.870873903113367
Demons,17.864649378749647
Time Management,17.254316813153935
Adventure,17.214409981564916
Score Attack,17.190943913727704
Sci-fi,16.944994829820725
Roguelike,16.704636878250156
Horses,16.62561576354681
TrackIR,16.417021276595758
Boomer Shooter,16.417021276595758
Rome,16.417021276595758
Pirates,16.417021276595758
Great Soundtrack,16.32992371286687
Choices Matter,16.218155914423185
Minimalist,15.928165216230752
Relaxing,15.917576413474821
Dwarf,15.8583364380235
Retro,15.762390090891307
Deckbuilding,15.532638507401105
Naval,15.424682947280171
Loot,15.38747965259401
Linear,15.343034997571404
Board Game,14.87296068562348
Wholesome,14.627422808203756
VR,14.5444620222965
Runner,14.54140853302164
Nonlinear,14.184345753603507
Zombies,14.172778232892668
Card Game,14.060246447186767
Trading,13.892505426981478
Card Battler,13.828817313497282
Controller,13.79271608167
Roguevania,13.680851063829797
Local Multiplayer,13.636484696803445
MOBA,13.60169491525425
Early Access,13.442113242761234
Bikes,13.300492610837452
Dice,13.215686274509817
Hex Grid,13.215686274509817
Dark,13.139949000406634
Aliens,13.063684542338944
Post-apocalyptic,12.957818053791783
City Builder,12.914786731907679
Gaming,12.748017851208287
Political Sim,12.746066663232199
Tanks,12.738666731060254
Cold War,12.738666731060254
CRPG,12.701755254226027
Stylized,12.602272938190145
Agriculture,12.568391440441214
Artificial Intelligence,12.547951399484043
Team-Based,12.45766898636795
Soundtrack,12.375308729507957
Walking Simulator,12.343903802089102
Narrative,12.14852243898722
Roguelike Deckbuilder,12.116166693188905
Twin Stick Shooter,11.936025257560662
Investigation,11.885633623856306
Replay Value,11.849779029629484
Old School,11.6728845057349
Cooking,11.662257773992353
Turn-Based,11.467606375663923
Multiplayer,11.307840664867086
Class-Based,11.049314937913714
Hack and Slash,11.022860809836427
Escape Room,10.975072124053378
Trading Card Game,10.94468085106384
Character Action Game,10.94468085106384
Creature Collector,10.655275964775177
Underwater,10.454459453627388
Auto Battler,10.303402993420184
3D Fighter,10.185277500830848
Destruction,10.14849682514488
Puzzle,10.131547780047189
Minigames,10.100229453483529
Conversation,9.953523275623764
Cinematic,9.933126321313734
Tabletop,9.895415064136568
First-Person,9.832408182606832
Life Sim,9.807415689482404
Bullet Time,9.719201341578458
Economy,9.61074387360924
Platformer,9.608613127561648
Romance,9.604989455813588
Heist,9.595452942732495
