TP,Kn,Nu,Wrn,Ukr,Tgl Msk,Umur,Awal,Masuk,Jual,Kirim,Akhir,STR,SSR
Kaos,Kain Drill,3,Merah,S,4/30/2024,144,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,3,Merah,M,4/30/2024,144,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,3,Merah,L,4/30/2024,144,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Merah,S,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Merah,M,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Merah,L,4/1/2024,173,1,0,0,0,1,0.00,0.00
Kaos,Kain Drill,6,Hijau,S,4/1/2024,173,1,0,0,1,0,0.00,0.00
Kaos,Kain Drill,6,Hijau,M,4/1/2024,173,6,0,0,4,2,0.00,0.00
Kaos,Kain Drill,6,Hijau,L,4/1/2024,173,4,0,0,4,0,0.00,0.00
Kaos,Kain Drill,6,Krem,S,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Krem,M,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Krem,L,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Lilac,S,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Lilac,M,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Drill,6,Lilac,L,4/1/2024,173,0,0,0,0,0,0.00,0.00
Kaos,Kain Organza,1,Hijau,M,12/20/2023,276,3,0,0,3,0,0.00,0.00
Kaos,Kain Organza,1,Hijau,L,12/20/2023,276,2,0,0,2,0,0.00,0.00
Kaos,Kain Organza,1,Biru,S,12/20/2023,276,0,0,0,0,0,0.00,0.00
Kaos,Kain Organza,1,Ungu,S,12/20/2023,276,1,0,0,1,0,0.00,0.00
Kaos,Kain Organza,1,Ungu,M,12/20/2023,276,0,0,0,0,0,0.00,0.00
Kaos,Kain Organza,1,Ungu,L,12/20/2023,276,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,2,Lilac,M,12/22/2023,274,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,2,Lilac,L,12/22/2023,274,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Biru,S,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Biru,M,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Kuning,S,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Kuning,M,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Kuning,L,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Peach,M,5/3/2024,141,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,3,Mustard,L,5/3/2024,141,2,0,0,0,2,0.00,0.00
Kaos,Kain Brokat,4,Hijau,S,2/29/2024,205,2,0,0,2,0,0.00,0.00
Kaos,Kain Brokat,4,Hijau,M,2/29/2024,205,4,0,0,4,0,0.00,0.00
Kaos,Kain Brokat,4,Hijau,L,2/29/2024,205,5,0,0,5,0,0.00,0.00
Kaos,Kain Brokat,4,Hitam,S,2/29/2024,205,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,4,Hitam,M,2/29/2024,205,0,0,0,0,0,0.00,0.00
Kaos,Kain Brokat,4,Hitam,L,2/29/2024,205,0,0,0,0,0,0.00,0.00
Kaos,Kain Jacquard,1,Hijau,S,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kaos,Kain Jacquard,1,Hijau,M,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kaos,Kain Jacquard,1,Hijau,L,12/28/2023,268,1,0,0,1,0,0.00,0.00
Kaos,Kain Jacquard,1,Khaki,S,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kaos,Kain Jacquard,1,Khaki,M,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kaos,Kain Jacquard,1,Khaki,L,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kaos,Kain Taffeta,1,Merah,S,1/8/2024,257,4,0,0,4,0,0.00,0.00
Kaos,Kain Taffeta,1,Merah,M,1/8/2024,257,2,0,0,2,0,0.00,0.00
Kaos,Kain Taffeta,1,Merah,L,1/8/2024,257,3,0,0,3,0,0.00,0.00
Kaos,Kain Taffeta,1,Ungu,S,1/8/2024,257,0,0,0,0,0,0.00,0.00
Kaos,Kain Taffeta,1,Ungu,M,1/8/2024,257,1,0,0,1,0,0.00,0.00
Kaos,Kain Taffeta,1,Ungu,L,1/8/2024,257,3,0,0,3,0,0.00,0.00
Kaos,Kain Taffeta,1,Emas,S,1/8/2024,257,0,0,0,0,0,0.00,0.00
Kaos,Kain Taffeta,1,Emas,M,1/8/2024,257,0,0,0,0,0,0.00,0.00
Kaos,Kain Taffeta,1,Emas,L,1/8/2024,257,0,0,0,0,0,0.00,0.00
Kaos,Kain Poplin,1,Merah,S,2/29/2024,205,0,0,0,0,0,0.00,0.00
Kaos,Kain Poplin,1,Merah,M,2/29/2024,205,2,0,0,2,0,0.00,0.00
Kaos,Kain Poplin,1,Merah,L,2/29/2024,205,6,0,0,6,0,0.00,0.00
Kaos,Kain Wool Blend,1,Merah,S,3/8/2024,197,0,0,0,0,0,0.00,0.00
Kaos,Kain Wool Blend,1,Merah,M,3/8/2024,197,3,0,0,0,3,0.00,0.00
Kaos,Kain Wool Blend,1,Merah,L,3/8/2024,197,0,0,0,0,0,0.00,0.00
Kaos,Kain Fleece,1,Merah,S,3/4/2024,201,0,0,0,0,0,0.00,0.00
