TP,Kn,Nu,Wrn,Ukr,Tgl Msk,Umur,Awal,Masuk,Jual,Kirim,Akhir,Total
Kaos,Kain Drill,3.0,Merah,S,2024-04-30,144,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,3.0,Merah,M,2024-04-30,144,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,3.0,Merah,L,2024-04-30,144,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Merah,S,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Merah,M,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Merah,L,2024-04-01,173,1,0,0.0,0.0,1.0,1.0
Kaos,Kain Drill,6.0,Hijau,S,2024-04-01,173,1,0,0.0,1.0,0.0,1.0
Kaos,Kain Drill,6.0,Hijau,M,2024-04-01,173,6,0,0.0,4.0,2.0,6.0
Kaos,Kain Drill,6.0,Hijau,L,2024-04-01,173,4,0,0.0,4.0,0.0,4.0
Kaos,Kain Drill,6.0,Krem,S,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Krem,M,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Krem,L,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Lilac,S,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Lilac,M,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Drill,6.0,Lilac,L,2024-04-01,173,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Organza,1.0,Hijau,M,2023-12-20,276,3,0,0.0,3.0,0.0,3.0
Kaos,Kain Organza,1.0,Hijau,L,2023-12-20,276,2,0,0.0,2.0,0.0,2.0
Kaos,Kain Organza,1.0,Biru,S,2023-12-20,276,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Organza,1.0,Ungu,S,2023-12-20,276,1,0,0.0,1.0,0.0,1.0
Kaos,Kain Organza,1.0,Ungu,M,2023-12-20,276,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Organza,1.0,Ungu,L,2023-12-20,276,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,2.0,Lilac,M,2023-12-22,274,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,2.0,Lilac,L,2023-12-22,274,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Biru,S,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Biru,M,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Kuning,S,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Kuning,M,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Kuning,L,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Peach,M,2024-05-03,141,0,0,0.0,0.0,0.0,0.0
Kaos,Kain Brokat,3.0,Mustard,L,2024-05-03,141,2,0,0.0,0.0,2.0,2.0
Kaos,Kain Brokat,4.0,Hijau,S,2024-02-29,205,2,0,0.0,2.0,0.0,2.0
Kaos,Kain Brokat,4.0,Hijau,M,2024-02-29,205,4,0,0.0,4.0,0.0,4.0
Kaos,Kain Brokat,4.0,Hijau,L,2024-02-29,205,5,0,0.0,5.0,0.0,5.0
Kaos,Kain Brokat,4.0,Hitam,S,2024-02-29,205,0,0,0.0,0.0,0.0,0.0
